cow_id,lactation_number,event,calving_date
9138,3,BRED,2018-06-22
9146,4,BRED,2019-07-21
9148,3,BRED,2018-08-15
9148,4,BRED,2019-08-13
9149,3,BRED,2018-10-02
9153,3,BRED,2018-12-08
9156,3,BRED,2018-07-16
9160,3,BRED,2018-07-04
9161,3,BRED,2018-07-12
9161,4,BRED,2019-07-28
9162,3,BRED,2019-01-09
9171,3,BRED,2018-10-22
9174,3,BRED,2018-07-11
9176,4,BRED,2019-09-14
9178,3,BRED,2018-06-02
9181,4,BRED,2019-08-11
9181,3,BRED,2018-06-30
9188,3,BRED,2018-10-23
9201,3,BRED,2019-04-14
9203,3,BRED,2018-11-23
9204,3,BRED,2018-09-01
9205,2,BRED,2017-12-12
9210,3,BRED,2018-10-23
9211,2,BRED,2017-10-03
9213,2,BRED,2017-08-30
9217,3,BRED,2018-07-25
9219,2,BRED,2017-10-22
9228,3,BRED,2018-07-11
9228,4,BRED,2019-08-05
9231,4,BRED,2019-06-08
9244,3,BRED,2018-07-30
9248,3,BRED,2018-09-10
9256,3,BRED,2018-12-04
9257,3,BRED,2018-11-01
9260,3,BRED,2018-10-07
9294,3,BRED,2018-11-04
9299,3,BRED,2018-08-07
9306,3,BRED,2018-09-25
9312,3,BRED,2018-08-31
9323,4,BRED,2019-07-19
9327,3,BRED,2018-10-28
9334,3,BRED,2018-11-05
9335,3,BRED,2018-09-03
9338,3,BRED,2018-09-20
9339,2,BRED,2017-10-06
9344,2,BRED,2018-02-21
9345,2,BRED,2018-05-15
9350,3,BRED,2018-09-22
9357,2,BRED,2017-11-22
9358,3,BRED,2019-03-28
9368,2,BRED,2017-10-09
9369,3,BRED,2018-11-08
9371,3,BRED,2018-11-04
9372,2,BRED,2018-01-30
9373,2,BRED,2017-11-10
9374,2,BRED,2017-10-13
9377,3,BRED,2018-11-28
9380,3,BRED,2019-06-15
9380,2,BRED,2018-05-15
9386,3,BRED,2018-12-23
9388,2,BRED,2017-12-15
9391,3,BRED,2019-02-23
9392,2,BRED,2018-01-25
9392,3,BRED,2019-03-08
9394,2,BRED,2017-11-29
9394,3,BRED,2019-01-27
9395,1,BRED,2017-11-15
9397,3,BRED,2018-11-26
9402,2,BRED,2018-06-20
9411,2,BRED,2017-12-20
9419,2,BRED,2018-01-06
9419,3,BRED,2019-03-23
9425,3,BRED,2019-07-05
9427,2,BRED,2018-05-23
9427,3,BRED,2019-05-26
9429,3,BRED,2018-11-16
9431,2,BRED,2018-05-20
9437,2,BRED,2018-01-24
9441,2,BRED,2018-02-18
9442,2,BRED,2017-12-03
9443,2,BRED,2018-07-24
9445,2,BRED,2018-02-26
9446,2,BRED,2018-08-25
9454,2,BRED,2018-01-26
9456,2,BRED,2017-11-25
9471,2,BRED,2017-11-28
9483,3,BRED,2019-01-18
9487,3,BRED,2019-05-07
9488,3,BRED,2018-11-16
9494,2,BRED,2018-02-02
9495,2,BRED,2018-01-21
9505,3,BRED,2019-05-11
9507,2,BRED,2017-12-17
9510,2,BRED,2018-03-13
9513,3,BRED,2018-12-12
9514,2,BRED,2018-02-19
9519,2,BRED,2017-12-26
9523,2,BRED,2018-04-04
9524,2,BRED,2018-01-01
9531,3,BRED,2019-02-15
9531,2,BRED,2018-02-17
9532,3,BRED,2019-04-24
9534,2,BRED,2018-06-08
9539,2,BRED,2018-01-28
9540,2,BRED,2018-06-03
9540,3,BRED,2019-05-15
9543,2,BRED,2018-05-05
9543,3,BRED,2019-04-25
9545,2,BRED,2018-05-01
9547,3,BRED,2019-05-11
9549,2,BRED,2018-06-14
9553,3,BRED,2018-12-17
9555,2,BRED,2018-05-23
9556,2,BRED,2018-01-14
9558,2,BRED,2018-05-04
9562,2,BRED,2018-02-26
9562,3,BRED,2019-05-18
9567,3,BRED,2018-12-24
9571,2,BRED,2018-01-15
9578,3,BRED,2019-01-27
9581,2,BRED,2018-01-11
9584,2,BRED,2018-02-14
9596,2,BRED,2018-03-31
9596,3,BRED,2019-06-18
